user_id,business_id,event_time,event_type,stars_x,name,latitude,longitude,city,state,categories,stars_y,review_count,is_open
-0MIp6WKJ8QvGnYZQ5ETyg,UTgUhbpM5hRVDB8Nu7-lpw,2018-06-11 22:57:47+00:00,review,4.0,China Cafe,39.610539,-75.0748032,Franklinville,NJ,"Chinese, Restaurants",4.0,18,1
-0MIp6WKJ8QvGnYZQ5ETyg,jwpZzqoPFLuHE-FwLp41cQ,2020-03-15 00:33:43+00:00,review,4.0,Bistro Di Marino,39.9181905,-75.0753279,Collingswood,NJ,"Italian, Salad, Restaurants, Seafood",4.0,285,1
-0MIp6WKJ8QvGnYZQ5ETyg,uXziexv0fsfRMw1hEdifow,2020-04-11 22:26:07+00:00,review,4.0,Pasta Pomodoro,39.750364,-75.0753051,Sewell,NJ,"Restaurants, Italian, Seafood, Sandwiches",4.0,68,1
-0MIp6WKJ8QvGnYZQ5ETyg,E7pGpkLw7i73oeuf8tvJog,2020-04-25 23:28:16+00:00,review,4.0,Cinder Bar,39.7239618552,-75.0170871807,Williamstown,NJ,"Bars, Nightlife, Restaurants, American (New), Pizza",4.0,203,1
-0MIp6WKJ8QvGnYZQ5ETyg,1wKbk-FtJBBidd1k8s09DA,2020-05-31 00:19:27+00:00,review,1.0,Dia De Los Burritos,39.7319983,-75.1293964,Pitman,NJ,"Mexican, Restaurants, Tex-Mex",4.0,114,1
-0MIp6WKJ8QvGnYZQ5ETyg,nsxdsXlt_BmxfMB3dI6OVQ,2021-02-14 20:57:44+00:00,review,4.0,First Watch,39.748894495,-75.0752854551,Sewell,NJ,"Cafes, Coffee & Tea, Food, Breakfast & Brunch, Restaurants, American (Traditional)",4.5,54,1
-0MIp6WKJ8QvGnYZQ5ETyg,f8MSbvd5JotxsFsS6fbl-Q,2021-02-14 20:58:30+00:00,review,4.0,The Pour House - Westmont,39.91067909,-75.05062342,Haddon Township,NJ,"Seafood, Burgers, Beer Bar, Nightlife, Restaurants, Pubs, Bars, Breakfast & Brunch, American (Traditional), Gastropubs",4.0,465,1
-0MIp6WKJ8QvGnYZQ5ETyg,2jy1GXVEHFIZZDV9rNBzcQ,2021-02-14 20:59:41+00:00,review,3.0,PDQ Sicklerville,39.7341707255,-75.0059789716,Sicklerville,NJ,"Fast Food, Salad, Restaurants, Chicken Shop, Sandwiches",4.0,81,1
-0MIp6WKJ8QvGnYZQ5ETyg,hsjYIfkwpYqfBnU6sd2lug,2021-03-06 00:08:31+00:00,review,4.0,Wasabi,39.6930771,-74.9960782,Williamstown,NJ,"Szechuan, Restaurants, Japanese, Teppanyaki, Sushi Bars, Chinese",2.5,50,1
-0MIp6WKJ8QvGnYZQ5ETyg,gCZG-Ysy7YkyLt47QBvaig,2021-04-09 12:15:47+00:00,review,4.0,Oki Maki,39.8479771,-74.9772242,Voorhees Township,NJ,"Ramen, Japanese, Sushi Bars, Restaurants, Noodles",3.5,96,1
-0MIp6WKJ8QvGnYZQ5ETyg,nh_zw7XCzWW4TZg7KvGn_w,2021-04-18 13:31:52+00:00,review,3.0,Bistro DiMarino,39.9105231465,-74.9416100501,Marlton,NJ,"Restaurants, Italian",4.5,24,1
-0MIp6WKJ8QvGnYZQ5ETyg,T-uphPk44OFt6sR8F-0uHA,2021-05-02 20:23:48+00:00,review,4.0,Iron Hill Brewery & Restaurant,39.851736,-74.998271,Voorhees,NJ,"American (New), Food, Restaurants, American (Traditional), Breweries",3.5,289,1
-0MIp6WKJ8QvGnYZQ5ETyg,ISNF5n3kJAOEX0-QNWyHFQ,2021-05-21 23:09:05+00:00,review,4.0,Sanremo Pizzeria & Ristorante,39.8429148456,-74.9642020545,Gibbsboro,NJ,"Pizza, Seafood, Italian, American (Traditional), Restaurants",3.5,29,1
-0MIp6WKJ8QvGnYZQ5ETyg,j-qtdD55OLfSqfsWuQTDJg,2021-06-06 17:26:48+00:00,review,5.0,Parc,39.9491724,-75.1707273,Philadelphia,PA,"Restaurants, French, Wine Bars, Nightlife, American (New), Bars, Cafes, Breakfast & Brunch",4.0,2761,1
-0MIp6WKJ8QvGnYZQ5ETyg,uHtdM9fh6h4F0Ly3X3ez0Q,2021-06-06 17:29:53+00:00,review,3.0,Oloroso,39.9490799981,-75.1599725336,Philadelphia,PA,"Nightlife, Restaurants, Bars, Spanish",4.0,183,1
-0MIp6WKJ8QvGnYZQ5ETyg,Ipkx4Sa7ybn8C6LtTqTztw,2021-06-06 17:33:01+00:00,review,5.0,Double Knot,39.9496993,-75.162185,Philadelphia,PA,"Nightlife, Sushi Bars, Cafes, Japanese, Bars, Restaurants",4.5,1140,1
-0MIp6WKJ8QvGnYZQ5ETyg,oJf3IZloLf_PDeEeZW5nDg,2021-08-14 23:06:07+00:00,review,4.0,Sal Vito Pizza,39.8494884,-74.9775719,Voorhees,NJ,"Restaurants, Pizza, Italian",4.0,45,1
-0MIp6WKJ8QvGnYZQ5ETyg,IJ0Z9VIHHw2NEqJdmGHIhg,2021-08-18 01:15:58+00:00,review,4.0,Sushi To Go,39.8411114,-74.9972614,Voorhees Township,NJ,"Restaurants, Asian Fusion, Sushi Bars, Japanese",4.0,64,1
-1VbC_BSr9ai4drsuCCJxA,GPYnUAfT7UgbtzIdlfPrAA,2012-03-01 20:19:13+00:00,tip,,Singleton's Mini Mart,29.9351614,-90.1324794,New Orleans,LA,"Vietnamese, Food, Grocery, Convenience Stores, Restaurants",4.5,88,1
-1VbC_BSr9ai4drsuCCJxA,6Ty-KKWq6hLZYW8DWEHYvg,2012-03-03 01:04:18+00:00,tip,,Pat O'Brien’s,29.9581828,-90.0652974,New Orleans,LA,"American (Traditional), Arts & Entertainment, Music Venues, Beer, Wine & Spirits, Cocktail Bars, Restaurants, Bars, Nightlife, Food, Piano Bars",4.0,2367,1
-1VbC_BSr9ai4drsuCCJxA,DcBLYSvOuWcNReolRVr12A,2012-03-03 03:03:26+00:00,tip,,Drago's Seafood Restaurant,29.9475628172,-90.0633108616,New Orleans,LA,"Restaurants, Seafood",3.5,3160,1
-1VbC_BSr9ai4drsuCCJxA,GPYnUAfT7UgbtzIdlfPrAA,2012-03-05 23:20:38+00:00,review,5.0,Singleton's Mini Mart,29.9351614,-90.1324794,New Orleans,LA,"Vietnamese, Food, Grocery, Convenience Stores, Restaurants",4.5,88,1
-1VbC_BSr9ai4drsuCCJxA,jIfRcC9Vd_bz66nVsoEMzA,2012-03-05 23:21:32+00:00,review,3.0,Pho Orchid,30.003437,-90.179202,Metairie,LA,"Vietnamese, Restaurants",4.0,348,1
-1VbC_BSr9ai4drsuCCJxA,6Ty-KKWq6hLZYW8DWEHYvg,2012-03-19 21:06:22+00:00,review,5.0,Pat O'Brien’s,29.9581828,-90.0652974,New Orleans,LA,"American (Traditional), Arts & Entertainment, Music Venues, Beer, Wine & Spirits, Cocktail Bars, Restaurants, Bars, Nightlife, Food, Piano Bars",4.0,2367,1
-6DoXmdXEy_P5N-QZzntgA,CkENBnSJFfPA1hY0qrqfCg,2012-07-24 18:18:37+00:00,tip,,Carlitos Cafe Y Cantina,34.42505409,-119.7065041501,Santa Barbara,CA,"Restaurants, Mexican",3.5,731,1
-6DoXmdXEy_P5N-QZzntgA,o4IiNbNybcy-L4vzTSoDJw,2012-08-28 16:38:26+00:00,review,4.0,Ca' Dario,34.4253913532,-119.7048107601,Santa Barbara,CA,"Tuscan, Seafood, Wine Bars, Restaurants, Bars, Nightlife, Italian",4.0,672,1
-6DoXmdXEy_P5N-QZzntgA,6zEWIsb6Lhr3BeoC3gm1lw,2013-05-03 15:38:43+00:00,review,3.0,Chickie's and Pete's,39.8774228729,-75.2405207186,Philadelphia,PA,"Sandwiches, American (Traditional), Seafood, Restaurants",2.5,787,1
-6DoXmdXEy_P5N-QZzntgA,ktM6aYuzqWd-kA8SIWswiQ,2013-05-03 15:42:56+00:00,review,4.0,Winnie's Manayunk,40.024735,-75.2222673,Philadelphia,PA,"Bakeries, Bars, Beer Bar, American (Traditional), Event Planning & Services, Food, American (New), Cocktail Bars, Nightlife, Caterers, Restaurants, Tapas/Small Plates, Breakfast & Brunch",3.5,599,1
-6DoXmdXEy_P5N-QZzntgA,v1GCQz7ZsntWI-GlGPpvqg,2013-11-10 05:45:55+00:00,tip,,The Monkey’s Tale,39.8704828,-86.142294,Indianapolis,IN,"American (New), Karaoke, Bars, Restaurants, Venues & Event Spaces, Event Planning & Services, Nightlife",3.5,69,0
-6DoXmdXEy_P5N-QZzntgA,v1GCQz7ZsntWI-GlGPpvqg,2013-11-11 19:09:04+00:00,review,4.0,The Monkey’s Tale,39.8704828,-86.142294,Indianapolis,IN,"American (New), Karaoke, Bars, Restaurants, Venues & Event Spaces, Event Planning & Services, Nightlife",3.5,69,0
