user_id,business_id
-0MIp6WKJ8QvGnYZQ5ETyg,UTgUhbpM5hRVDB8Nu7-lpw
-0MIp6WKJ8QvGnYZQ5ETyg,jwpZzqoPFLuHE-FwLp41cQ
-0MIp6WKJ8QvGnYZQ5ETyg,uXziexv0fsfRMw1hEdifow
-0MIp6WKJ8QvGnYZQ5ETyg,E7pGpkLw7i73oeuf8tvJog
-0MIp6WKJ8QvGnYZQ5ETyg,1wKbk-FtJBBidd1k8s09DA
-0MIp6WKJ8QvGnYZQ5ETyg,nsxdsXlt_BmxfMB3dI6OVQ
-0MIp6WKJ8QvGnYZQ5ETyg,f8MSbvd5JotxsFsS6fbl-Q
-0MIp6WKJ8QvGnYZQ5ETyg,2jy1GXVEHFIZZDV9rNBzcQ
-0MIp6WKJ8QvGnYZQ5ETyg,hsjYIfkwpYqfBnU6sd2lug
-0MIp6WKJ8QvGnYZQ5ETyg,gCZG-Ysy7YkyLt47QBvaig
-0MIp6WKJ8QvGnYZQ5ETyg,nh_zw7XCzWW4TZg7KvGn_w
-0MIp6WKJ8QvGnYZQ5ETyg,T-uphPk44OFt6sR8F-0uHA
-0MIp6WKJ8QvGnYZQ5ETyg,ISNF5n3kJAOEX0-QNWyHFQ
-0MIp6WKJ8QvGnYZQ5ETyg,j-qtdD55OLfSqfsWuQTDJg
-0MIp6WKJ8QvGnYZQ5ETyg,uHtdM9fh6h4F0Ly3X3ez0Q
-0MIp6WKJ8QvGnYZQ5ETyg,Ipkx4Sa7ybn8C6LtTqTztw
-0MIp6WKJ8QvGnYZQ5ETyg,oJf3IZloLf_PDeEeZW5nDg
-0MIp6WKJ8QvGnYZQ5ETyg,IJ0Z9VIHHw2NEqJdmGHIhg
-1VbC_BSr9ai4drsuCCJxA,GPYnUAfT7UgbtzIdlfPrAA
-1VbC_BSr9ai4drsuCCJxA,6Ty-KKWq6hLZYW8DWEHYvg
-1VbC_BSr9ai4drsuCCJxA,DcBLYSvOuWcNReolRVr12A
-1VbC_BSr9ai4drsuCCJxA,jIfRcC9Vd_bz66nVsoEMzA
-6DoXmdXEy_P5N-QZzntgA,CkENBnSJFfPA1hY0qrqfCg
-6DoXmdXEy_P5N-QZzntgA,o4IiNbNybcy-L4vzTSoDJw
-6DoXmdXEy_P5N-QZzntgA,6zEWIsb6Lhr3BeoC3gm1lw
-6DoXmdXEy_P5N-QZzntgA,ktM6aYuzqWd-kA8SIWswiQ
-6DoXmdXEy_P5N-QZzntgA,v1GCQz7ZsntWI-GlGPpvqg
-6DoXmdXEy_P5N-QZzntgA,DdXHwMvFa_vlWwOfgxUNVA
-6DoXmdXEy_P5N-QZzntgA,ocslNn82QHpG4Zc81sJXBg
-6DoXmdXEy_P5N-QZzntgA,wxJwNCV2oC5Tnan8rzi9iw
-6DoXmdXEy_P5N-QZzntgA,QpTf9MU5EgYfm6bscRxaqw
-6DoXmdXEy_P5N-QZzntgA,IkY2ticzHEn4QFn8hQLSWg
-6cPEM5jtb6A2M6mggn47g,Zi-F-YvyVOK0k5QD7lrLOg
-6cPEM5jtb6A2M6mggn47g,FEXhWNCMkv22qG04E83Qjg
-6cPEM5jtb6A2M6mggn47g,ArPLE_RTg0h7yzkN0KwzRg
-6cPEM5jtb6A2M6mggn47g,11qwVOxX-Z0bWAnfpVLnlw
-6cPEM5jtb6A2M6mggn47g,BK8NZlJtgsKnh_L_mTRc6Q
-6cPEM5jtb6A2M6mggn47g,eCikDKFbaeYVNdCD2beX0Q
-6cPEM5jtb6A2M6mggn47g,lK-YaoQ670dGJrmaqyJTBA
-6cPEM5jtb6A2M6mggn47g,iSRTaT9WngzB8JJ2YKJUig
-6cPEM5jtb6A2M6mggn47g,HhD8DLES5ZeULKDXmfkOOg
-8lbUNlXVSoXqaRRiHiSNg,qI7j_4UGb3w6f9j5c7lC6Q
-8lbUNlXVSoXqaRRiHiSNg,z9-8KvMAlVK46De-G3sNJQ
-8lbUNlXVSoXqaRRiHiSNg,gdEZfd6RFXYmmXX71RDvbA
