user_id,cluster_id,hub_size,hub_lat,hub_lon,hub_rank
-0MIp6WKJ8QvGnYZQ5ETyg,2,6,39.8487272248,-74.98688209466667,1
-0MIp6WKJ8QvGnYZQ5ETyg,0,3,39.717069893566666,-75.00638145076667,2
-0MIp6WKJ8QvGnYZQ5ETyg,1,3,39.743752265000005,-75.09332898503334,3
-0MIp6WKJ8QvGnYZQ5ETyg,3,3,39.9493172327,-75.16429494453332,4
-1VbC_BSr9ai4drsuCCJxA,0,4,29.9528728086,-90.0643041308,1
-6DoXmdXEy_P5N-QZzntgA,0,6,39.868476066666666,-86.14203191666667,1
-6cPEM5jtb6A2M6mggn47g,0,10,29.95396396026,-90.06499000816001,1
-8lbUNlXVSoXqaRRiHiSNg,0,5,34.421507758580006,-119.70123266508001,1
-8lbUNlXVSoXqaRRiHiSNg,1,3,34.418200257533336,-119.8611842139,2
-DLVCiMg_uM0ihm8PcHWcw,0,7,29.955360344385713,-90.06841031982856,1
-EYAh6B8abzsq8ld_XGoRw,0,5,38.61233095522,-90.27131479637998,1
-Hm4V0KMXftGms0O-uHZiw,0,3,38.80160015493333,-89.94253201856667,1
-MiV-B9p4rO652My4HjYlA,0,3,29.9508849724,-90.06342902053332,1
-Q-PQD7nZ1dhADQTYwlsOA,0,6,39.951434740316664,-86.01812908525001,1
-Q-PQD7nZ1dhADQTYwlsOA,1,3,39.777936516433336,-86.15342679386667,2
-QmEKJ_CzZnT9biZHddfZQ,0,105,39.95238758360858,-75.17948339576476,1
-TQmf01XtBe5jOkHb84WPA,0,7,27.94841302087143,-82.48994616775714,1
-YXBkT3IAz1tUNKLtmvx0A,0,6,29.953065923683337,-90.07173257948334,1
-YXBkT3IAz1tUNKLtmvx0A,1,3,36.15377743333333,-86.77951526666665,2
-ZQK7CcOHeMwsoG7qKBGkA,0,4,34.407846975,-119.710717925,1
-_yn1IOKetBJuPxfK6u8IA,0,52,36.1588625539577,-86.79772434902885,1
-a3lBj2ulBxrIwZf4zdMTA,0,5,39.953754777,-75.15440329047999,1
-j1-ixhH0IhAlBXwdjpBug,0,3,29.956464201999996,-90.06747051283332,1
-l0-k3ezghmIHCtCnrTdLA,0,18,29.967046158877775,-90.08604307238333,1
-l1bn8D8iZ0n9Q0PgIDGBA,0,7,40.16456985714286,-75.1265495,1
-l1bn8D8iZ0n9Q0PgIDGBA,1,4,34.419753799999995,-119.65900565000001,2
-mU1Bd61e_LQ38IKgd3i5Q,0,8,32.2140153224,-110.84948139849999,1
-pUJtDKDeYYBa7ZoyJFBMw,0,30,27.946049842533338,-82.4824124219033,1
-psFb4sFsOm0oRLY2Kye0A,1,14,36.1509269924,-86.7998678142143,1
-psFb4sFsOm0oRLY2Kye0A,0,11,36.320036590336365,-86.60420375518183,2
-vZrPZX54a1m-hqAKMTTWg,0,3,29.955310233333336,-90.20761113333333,1
-yQw7ugqK6j81yQSpI0BJQ,0,4,34.41249122825,-119.856344859925,1
0-VeqEryJUgtML9lSqvKMQ,0,4,27.943284575,-82.49721905,1
01uDjmkqP32bTkCHuWIKBA,0,4,36.165492991,-86.787725087425,1
02hZ8ZzZ1wJHFE1_fPuOwA,0,3,39.89456570466667,-86.0026307777,1
07ZgihuH-9Ih5dyI9hxRvw,0,5,29.954133716399998,-90.0656808227,1
0NRrwhCDOv3jK2ZcKBnpQg,0,6,34.414284200000004,-119.68727044999999,1
0P3MgBcGzj-LtQA3lQXghw,0,4,38.7908875833,-89.96263832690002,1
0QzRChUjM48JQarMb9t7ig,0,3,29.956999533333335,-90.06488193333333,1
0SW6-0e8NXaLPyMiUMWlgw,0,11,27.779624494500002,-82.75921424871818,1
0Tcj5uCoc6y1xRIw2sIUnQ,0,5,27.786383279539997,-82.64551008382,1
0W86OPpGSTzjo6nUuUNWQQ,0,8,40.2219230668,-75.65525381584999,1
0eAE3nci8RZRAjgg5mIEUQ,0,3,27.795438166666667,-82.79464273333333,1
0fW-YQvz2iC113CRl9xOrQ,0,11,39.66711824514545,-75.61218372565453,1
0juMoWXC7z4c7LgQP2s3sA,0,36,39.92870883538333,-75.00352285724722,1
0juMoWXC7z4c7LgQP2s3sA,2,6,40.363330373699995,-74.95048863606667,2
0juMoWXC7z4c7LgQP2s3sA,1,5,39.95278562,-75.15274974000002,3
0juMoWXC7z4c7LgQP2s3sA,3,3,36.16124610226667,-86.77492304869999,4
0lMv7mbe73ZqF3OvjrZkyQ,0,5,43.60873038932,-116.37848177944002,1
0oBj63QKATcyxa6PLAVgoA,0,5,40.127306259860006,-75.11686233968001,1
0oCP58mpEC2myGlDaRqqIw,0,3,43.614664487166664,-116.20037059053334,1
1-oaItKi4vz-z2dF7S2oNw,0,6,38.60623516206667,-90.2162508,1
10FMZoatpQvFO4_jXgVcdQ,0,13,39.51210574057693,-119.81452428042306,1
10Gvgz8QBwZmZigxPv6szw,0,7,39.626090833171425,-86.15070596465713,1
12icG6GeSG6qWnHspF0tHQ,0,51,39.82058482476863,-86.14926275269805,1
12icG6GeSG6qWnHspF0tHQ,1,4,39.95585071165,-86.025993475,2
13PmeqpB9nUZNBYngvMj2g,0,6,39.80989734523333,-75.0586701957,1
